pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,856.5754747545384
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,858.4539723816869
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,860.5140711616568
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,859.4159583710476
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,857.5374607438991
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,857.5374607438991
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,856.5754747545384
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,856.5754747545384
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,858.4539723816869
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,860.5140711616568
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,859.4159583710476
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,857.5374607438991
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,857.5374607438991
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,856.5754747545384
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,856.5754747545384
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,858.4539723816869
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,860.5140711616568
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,859.4159583710476
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,857.5374607438991
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,857.5374607438991
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,856.5754747545384
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,856.5754747545384
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,858.4539723816869
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,860.5140711616568
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,859.4159583710476
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,857.5374607438991
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,857.5374607438991
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,856.5754747545384
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,856.5754747545384
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,858.4539723816869
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,860.5140711616568
